Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Custom Field,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Custom Field,,,,,,,,,,,,,,,,,,,,,,,,
Column Labels:,ID,Document,Field Type,Label,Insert After,Precision,Options,Field Description,Fieldname,Permission Level,Is Mandatory Field,Unique,Read Only,Ignore User Permissions,Width,Default Value,Hidden,Depends On,Print Hide,No Copy,Allow on Submit,In Report Filter,In List View,Report Hide,Created On
Column Name:,name,dt,fieldtype,label,insert_after,precision,options,description,fieldname,permlevel,reqd,unique,read_only,ignore_user_permissions,width,default,hidden,depends_on,print_hide,no_copy,allow_on_submit,in_filter,in_list_view,report_hide,creation
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Link,Select,Data,Select,Select,Text,Text,Data,Int,Check,Check,Check,Check,Data,Text,Check,Data,Check,Check,Check,Check,Check,Check,Datetime
Info:,,Valid DocType,"One of: Attach, Button, Check, Code, Column Break, Currency, Data, Date, Datetime, Dynamic Link, Float, HTML, Image, Int, Link, Long Text, Password, Percent, Read Only, Section Break, Select, Small Text, Table, Text, Text Editor, Time",,,"One of: 1, 2, 3, 4, 5, 6, 7, 8, 9",,,,Integer,0 or 1,0 or 1,0 or 1,0 or 1,,,0 or 1,,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,0 or 1,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,
,Asset-manufacturer,Asset,Data,Manufacturer,model,,,,manufacturer,0,0,0,0,0,,,0,,0,0,1,0,0,0,08-08-2016 11:37:29
,Asset-model,Asset,Data,Model,asset_category,,,,model,0,0,0,0,0,,,0,,0,0,1,0,0,0,08-08-2016 11:37:30
,Asset-description,Asset,Text,Description,purchase_invoice,,,,description,0,0,0,0,0,,,0,,0,0,1,0,0,0,08-08-2016 11:37:30
,Asset-autoname,Asset,Check,Autoname,asset_name,,,,autoname,1,0,0,0,0,,1,0,,0,0,0,0,0,0,08-08-2016 11:41:38
,Asset Category-residual_value_percent,Asset Category,Percent,Residual Value Percent,depreciation_method,,,,residual_value_percent,0,0,0,0,0,305,,0,,0,0,0,0,1,0,07-08-2016 10:09:29
,Asset Category-asset_short_name,Asset Category,Data,Asset Short Name,frequency_of_depreciation,,,Don't use special Characters only letters and number and restrict to 3 Letters only.,asset_short_name,0,1,0,0,0,,,0,,0,0,0,0,0,0,09-08-2016 10:32:09
,"""Attendance-att""",Attendance,Section Break,Time Details,amended_from,,,,att,0,0,0,0,0,,,0,,0,0,0,0,0,0,25-04-2016 11:05:50
,"""Attendance-shift""",Attendance,Link,Shift,attendance_date,,Shift Details,,shift,0,0,0,0,0,,,0,,0,0,0,0,0,0,25-04-2016 11:05:53
,"""Attendance-attendance_time""",Attendance,Table,Attendance Time,overtime,,Attendance Time Table,,attendance_time,0,0,0,0,0,,,0,,0,0,0,0,0,0,25-04-2016 11:05:54
,"""Attendance-overtime""",Attendance,Float,Overtime,att,2,,,overtime,0,0,0,1,0,,,0,,0,1,0,0,0,0,25-04-2016 11:05:56
,"""Communication-follow_up""",Communication,Check,Follow Up,sender,,,,follow_up,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23-07-2016 19:17:38
,"""Communication-next_action_date""",Communication,Datetime,Next Action Date,follow_up,,,,next_action_date,0,0,0,0,0,176,,0,,0,0,0,0,0,0,23-07-2016 20:25:58
,"""Communication-communication_subtype""",Communication,Select,Communication Subtype,communication_type,,"General
C-Form Reminder
Payment Reminder
Sales Related",,communication_subtype,0,0,0,1,0,162,,1,,0,0,0,0,0,0,24-07-2016 02:03:33
,"""Customer-notes""",Customer,Text,Notes,column_break0,,,,notes,0,0,0,0,0,71,,0,,0,0,0,1,0,0,02-05-2012 10:03:05
